SMILES,C1,C2
O=CNCCO,-1.2753000000000003,21.152499999999996
CC(=O)C(=O)C(=O)O,-0.7708999999999999,23.323799999999995
O=CNCCCO,-0.8852,25.76949999999999
O=CCCCO,-0.04219999999999996,22.383799999999994
OCCCCO,-0.24880000000000008,23.405599999999993
O=C(O)CCO,-0.5466,19.3386
OC(O)C(O)C(O)O,-3.0313000000000008,22.458
COC(=O)C(C)O,-0.4598000000000002,23.696799999999993
OCCC(O)O,-1.3205000000000002,19.928399999999996
O=CNCCO,-1.2753000000000003,21.152499999999996
CCC(O)C(=O)OC,-0.0697000000000001,28.313799999999986
CCC(N)CO,-0.2840000000000001,25.352199999999996
*CCC(C)N,0.6912999999999998,23.073399999999992
CCCCCO,1.1689,26.61079999999999
*=CC(=O)NCCO,-1.5536,26.159499999999994
CCCC(=O)O,0.8711,22.54379999999999
O=C(CO)CCO,-1.0698,23.795599999999993
OCC(O)C(O)O,-2.3497,21.318199999999997
O=CCC(=O)O,-0.3399999999999999,18.3168
OCCCCO,-0.24880000000000008,23.405599999999993
OCCCCCO,0.14130000000000004,28.022599999999986
O=CCCCO,-0.04219999999999996,22.383799999999994
CCCCCO,1.1689,26.61079999999999
*C(O)C(=O)CC,-0.1668,21.304799999999997
OCCOCO,-1.0549000000000002,20.123599999999996
OCCCCO,-0.24880000000000008,23.405599999999993
**NCCN,-1.0010000000000003,17.057100000000002
CC(O)C(N)O,-1.3557000000000001,21.875000000000004
O=C(O)OCC(=O)OO,-0.3028,22.697599999999998
CC(=O)CC(C)O,0.3463,26.978799999999985
O=CCCCC(=O)O,0.4402000000000001,27.55079999999999
CCOC(=O)O,0.7009000000000001,19.650799999999997
*CCNCCO,-0.4641000000000002,24.762499999999992
*CCC(O)O,-0.3452000000000002,17.6496
OCOCCOCO,-1.0808,26.07559999999999
OCCCCO,-0.24880000000000008,23.405599999999993
OCCCCCO,0.14130000000000004,28.022599999999986
NCC(O)CO,-1.7017,22.146999999999995
CCC(=O)OC,0.5693999999999999,22.30699999999999
*CC(C)CC(=O)O,1.0648,26.22379999999999
CNC1NC1O,-1.5465000000000002,21.9902
O=CCCCO,-0.04219999999999996,22.383799999999994
OCCCCO,-0.24880000000000008,23.405599999999993
*C(O)C(=O)C(=C)O,-0.5051,22.782599999999995
