SMILES,C1,C2
CCC1CC1C(O)C(=O)O,0.478,35.530599999999986
CCC(O)C1CC1C,1.4133,33.56879999999999
CCCC(O)CCC,1.9475,35.822799999999994
CC(O)CCCCC(O)O,0.2383,38.3744
CCC(=N)CCN,0.7649700000000001,31.689099999999993
OCOCCCCOCO,-0.30060000000000014,35.30959999999999
CCCCCC(C)CO,2.1951,40.3918
O=CC(O)CCCCCO,0.09890000000000004,37.6246
O=C(O)CCCCCCO,1.0138,37.8066
CCCCCCCC(C)O,2.7277000000000013,45.05680000000002
CCCC(C)C=O,1.6215,30.13599999999998
CCCC(O)CCCO,0.9198999999999999,37.23459999999999
CCCC1CCCC1,2.976700000000002,36.86599999999999
CCCCCC(C)C,3.2227000000000023,38.98
CCCC(O)CO,0.13970000000000005,28.000599999999988
CCCC(O)CCCCO,1.31,41.85160000000001
CCCCOCC=O,1.002,31.790999999999983
CCCCCCCO,1.9491,35.84479999999999
CCCCCCC(=O)CC,2.935900000000001,44.057000000000016
CNCCCCC(=O)O,0.46069999999999983,35.41349999999999
CCCCCC(=O)OC,1.7397,36.157999999999994
CCCC(C)C=O,1.6215,30.13599999999998
O=CCC(=O)CCCO,-0.08300000000000002,32.00779999999999
CC(C)CCCCCO,2.1951000000000005,40.3918
CCC(=O)CCCC(C)O,1.5166,40.829800000000006
CC(O)CCCCC(C)O,1.3084,41.829600000000006
COC(=O)C(C)CC(N)O,-0.5372999999999999,35.991199999999985
CCCCNCCC,1.7861,38.0687
CCC(=O)CCC(O)CO,0.09889999999999999,37.624599999999994
CCCCCCN,1.5253999999999999,33.19639999999998
CCC(=O)CCCC(C)O,1.5166,40.829800000000006
CCCCCCOC(O)O,0.8514999999999999,38.3196
CCCCCOCCC,2.603200000000001,40.635000000000005
O=CCCCCC1CO1,1.1445,34.27199999999999
CCC(O)COCCCO,0.1562999999999995,38.8196
CC1CCCCC1O,1.5574,33.63879999999999
OCCCCOCCCO,0.15789999999999976,38.8416
CCC(C)C(C)CC(=O)O,2.1433,40.8718
CC(O)C(O)C1CC1,0.1381,30.411599999999986
COC(C)CCCO,0.7938000000000001,32.79079999999998
CCCCCCCO,1.9491,35.84479999999999
CCC1NC1(N)CN,-1.0180999999999991,33.18749999999999
COC(=O)CCCC(=O)O,0.41429999999999995,33.502799999999986
CCC(O)CCC(C)C,2.1935000000000002,40.369800000000005
CCCCCC(O)C(=O)O,1.0122,37.78459999999999
CCC(=O)CCCCO,1.1281,36.23479999999999
COC(=O)CCCCCO,0.7121,37.569799999999994
CCCC1(O)CC1C,1.5574,33.63879999999999
CC(O)C(C)C(C)O,0.3841,32.52559999999998
COCCCCOC,1.0594000000000001,32.98599999999998
CCCC(=O)CC(C)CC,2.791800000000001,43.987000000000016
COC(O)CCOC(O)O,-1.3739000000000001,31.810399999999987
CC1CCCCNC1,1.396,35.88469999999999
OC(O)C1OC12CCCC2,0.008699999999999708,34.297599999999996
CCC(C)C(=O)OC,1.2055,31.470999999999982
CCCCCOC(O)CO,0.5039,38.5696
*C1CCCC1CC,2.534300000000001,31.381999999999984
CNCC(N)CO,-1.474599999999999,28.987899999999993
CC1CC(C)C(C)C1=O,1.8675,37.11599999999999
CCCCCC(C)=O,2.1557000000000004,34.822999999999986
O=C(O)CCC(=O)O,-0.06420000000000009,24.505599999999994
CCCCCCCC(C)O,2.7277000000000013,45.05680000000002
COCCOC1CCCC1,1.592,40.08400000000001
CCC(=O)C(O)CC,0.7363999999999999,31.595799999999983
COC(=O)C(C)CCO,0.1778999999999999,32.88279999999998
CCCC(C)C(C)O,1.8034,35.75279999999999
CCCC(C)CCC(O)O,1.5134999999999996,41.531600000000005
CCCCCCC(C)O,2.3376000000000006,40.439800000000005
CCCCCCCCO,2.3392000000000013,40.461800000000004
CCC(C)C(C)O,1.4133,31.135799999999982
CCCCCCC(=O)O,2.0414000000000003,36.3948
CCCCCC(O)CC,2.3376,40.439800000000005
CC(O)C1CCCC1,1.5574,33.63879999999999
CCCCC(O)CC(C)O,1.3083999999999998,41.829600000000006
CC1CCC(O)C1C,1.4133,33.56879999999999
CCCC1CC1CC,2.832600000000001,36.79599999999999
CCCCCC(O)CO,0.9198999999999999,37.23459999999999
CCCCC(=O)CC,2.1557000000000004,34.822999999999986
CCC(O)CCC(C)=O,1.1265,36.212799999999994
CC(O)CCCCCO,0.9198999999999999,37.23459999999999
CC(=O)CCCCC(C)C,2.791800000000001,43.987000000000016
CCCCC(O)CCO,0.9198999999999999,37.23459999999999
CCCCCCCC=O,2.5458000000000007,39.440000000000005
CCC(=O)CCCCCO,1.5182,40.851800000000004
CCCC(=O)CCC=O,1.3347,35.212999999999994
CC(CCO)OCCO,-0.2338,34.20259999999999
CCCC(C)CCCO,2.1951000000000005,40.3918
CC(O)C(C)CC(O)O,-0.29589999999999994,33.68739999999999
CC(O)C1CC1C(O)CO,-0.6435000000000002,36.3704
CCC(N)NC,-0.09940000000000038,27.326099999999997
CCCCCC(C)CO,2.1951000000000005,40.3918
CCCCC(CC)CO,2.1951,40.3918
CCC(O)C1CC1CC,1.8034,38.1858
CCCCCC,2.5866000000000007,29.81599999999998
CCC(C)CCCO,1.8050000000000002,35.77479999999999
CCCCCCC(=O)CC,2.935900000000001,44.057000000000016
CCCCC(CO)C(C)O,1.1659,41.781600000000005
O=C(O)C12CCC1C2,0.8711,27.40979999999999
COC(=O)CCC(C)CO,0.5680000000000001,37.4998
CCCCCC(O)NC=O,0.6310999999999996,39.34850000000001
CC(O)CCCC(C)O,0.9182999999999999,37.212599999999995
CC(N)CCCC(O)O,-0.18539999999999968,35.72599999999999
COC(=O)CCCCCO,0.7121,37.569799999999994
CC(O)CCCCCO,0.9198999999999999,37.23459999999999
CCCCCCCC,3.3668000000000022,39.05
CC(O)C1CC1COCO,-0.030299999999999938,36.315599999999996
CC(O)CC1C2CCNC21,0.3652,39.685500000000005
CCCCCCCC(C)O,2.7277000000000013,45.05680000000002
CC(O)CC(C)CO,0.38569999999999993,32.54759999999998
CCC(=O)CCCC=O,1.3347,35.212999999999994
COC1CCCCC1,1.9655,33.881999999999984
